Date,Events
2024-01-01,English New Year
2024-01-04,World Braille Day
2024-01-06,World War Orphans Day
2024-01-08,African National Congress Foundation Day
2024-01-09,Pravasi Bharatiya Divas NRI Day
2024-01-10,World LAugusthter Day
2024-01-11,Death anniversary of Lal Bahadur Shastri
2024-01-12,National Youth Day (Birth Day of Swami Vivekanand)
2024-01-15,Army Day (Field Marshall K.M. Cariappa took over thecommand of Army on this day in 1949 from the British)
2024-01-23,Netaji Subhash Chandra bose birthday
2024-01-24,National Girl Child day of India
2024-01-25,India Tourism Day
2024-01-26,Republic Day of India and International Customs day
2024-01-27,International Holocaust Day (The largest Nazi deathcamp
2024-01-28,Birth Anniversary of Lala Lajpat Rai
2024-01-28,Data protection day
2024-01-30,Mahatma Gandhi’s Martyrdom Day (Martyr’s day)World Leprosy Eradication Day
2024-02-01,Indian Coast Guard Day
2024-02-02,World Wetlands Day
2024-02-04,World Cancer Day
2024-02-04,National Day of Sri Lanka
2024-02-06,International day against female genital mutilation
2024-02-07,International Development Week
2024-02-11,World Day of the Sick
2024-02-12,Darwin Day
2024-02-12,Abraham Lincoln's Birthday
2024-02-13,Sarojini Naidu’s Birth Anniversary
2024-02-14,Saint Valentine's Day
2024-02-18,Taj Mahotsav
2024-02-20,World Day of Social Justice
2024-02-21,International Mother Language Day
2024-02-22,World Scout Day
2024-02-23,World peace and understanding day
2024-02-24,Central Excise Day
2024-02-27,World Sustainable Energy Day
2024-02-28,National Science Day
2024-03-01,Zero Discrimination DayWorld Civil Defence Day
2024-03-03,World Wildlife DayWorld Hearing Day
2024-03-04,National Safety Day
2024-03-08,International Women’s Day
2024-03-10,CISF Raising Day
2024-03-13,No Smoking Day (Second Wednesday of March)
2024-03-14,Pi DayInternational Day of Action for Rivers
2024-03-15,World Consumer Rights Day
2024-03-16,National Vaccination Day
2024-03-18,Ordnance Factories Day (India)
2024-03-20,International Day of HappinessWorld Sparrow Day
2024-03-21,World Forestry DayWorld Down syndrome DayWorld Poetry Day
2024-03-22,World Water Day
2024-03-23,World Meteorological Day
2024-03-24,World Tuberculosis (TB) Day
2024-03-27,World Theatre Day
2024-04-01,Orissa Day
2024-04-02,World Autism Awareness Day
2024-04-04,International Day for Mine Awareness
2024-04-05,National Maritime Day
2024-04-07,World Health Day
2024-04-10,World Homeopathy Day
2024-04-11,National Safe Motherhood Day
2024-04-13,Jallianwallah Bagh Massacre Day (1919)
2024-04-17,World Haemophilia Day
2024-04-18,World Heritage Day
2024-04-21,National Civil Service Day
2024-04-22,World Earth Day
2024-04-23,World Book and Copyright Day
2024-04-24,National Panchayati Day
2024-04-25,World Malaria Day
2024-04-26,World Intellectual Property Day
2024-04-28,World Day for Safety and Health at Work
2024-05-01,International Labour Day
2024-05-03,Press Freedom Day
2024-05-04,Coal miner’s day
2024-05-08,World Red Cross Day
2024-05-09,Victory day
2024-05-11,National Technology Day
2024-05-12,International Nurses day
2024-05-14,World Migratory day
2024-05-15,International Day of the Family
2024-05-17,World Telecommunication Day (Information Society Day)
2024-05-21,Anti-terrorism day
2024-05-24,Commonwealth Day
2024-05-31,Anti-Tobacco Day
2024-06-01,World Milk DayGlobal Parents Day
2024-06-02,International Sex Workers DayTelangana Formation Day
2024-06-03,World Bicycle Day
2024-06-04,International Day of InnocentChildren Victims of Aggression
2024-06-05,World Environment Day
2024-06-07,World Food Safety DayInternational Level Crossing Awareness Day
2024-06-08,World Oceans DayWorld Brain Tumour Day
2024-06-12,World Day Against Child Labour
2024-06-14,World Blood Donor Day
2024-06-15,Global Wind DayWorld Elder Abuse Awareness Day
2024-06-17,World Day to CombatDesertification and Drought
2024-06-18,Autistic Pride Day
2024-06-19,World Fathers’ Day (Every 3rd Sunday of June)World Sickle Cell Awareness DayWorld Sauntering Day
2024-06-20,World Refugee Day
2024-06-21,World Hydrography DayInternational Yoga DayWorld Music day
2024-06-23,International Olympic DayUnited Nations Public Service DayInternational Widow’s Day
2024-06-26,International Day againstDrug Abuse & Illicit Trafficking
2024-06-27,World Diabetes Day
2024-06-30,World Asteroid Day
2024-07-01,National Doctor’s Day
2024-07-02,World UFO Day
2024-07-04,American Independence day
2024-07-06,World Zoonoses Day
2024-07-11,World Population Day
2024-07-12,World Malala day
2024-07-17,World Day for International Justice
2024-07-18,Nelson Mandela International Day
2024-07-28,World Nature Conservation Day
2024-07-29,International Tiger Day
2024-08-02,International Friendship Day
2024-08-03,Independence Day of Niger
2024-08-05,Independence day of upper Volta
2024-08-06,Hiroshima Day
2024-08-09,International Day of World’s Indigenous People
2024-08-09,Quit India Day and Nagasaki Day
2024-08-12,International Youth day
2024-08-14,Independence Day of Pakistan
2024-08-15,Independence Day of India
2024-08-19,World Photography day
2024-08-20,Sadbhavna Diwas
2024-08-23,International Day for the Remembrance of the slave trade and its abolition
2024-08-29,National Sports Day
2024-08-30,Small Industry Day
2024-09-05,Teachers’ Day (Dr. Radhakrishnan’s birthday)
2024-09-08,World Literacy Day
2024-09-14,Hindi day
2024-09-15,Engineer’s day in India
2024-09-16,World Ozone Day
2024-09-21,Alzheimer’s Day
2024-09-25,Social justice day
2024-09-26,Day of the Deaf
2024-09-27,World Tourism Day
2024-10-01,International Day of the Older person
2024-10-02,Mahatma Gandhi's birthday
2024-10-03,World Habitat Day
2024-10-04,World Animal Welfare Day
2024-10-05,World Teacher’s Day
2024-10-06,World Wildlife Day
2024-10-08,Indian Air Force Day
2024-10-09,World Post Office day
2024-10-10,National Post Day
2024-10-11,International Girl Child Day
2024-10-12,World Arthritis day
2024-10-13,UN International Day for National Disaster Reduction
2024-10-14,World Standards Day
2024-10-15,World White Cane Day (guiding the Blind)
2024-10-16,World Food Day
2024-10-17,International day for the eradication of poverty
2024-10-20,World statistics day
2024-10-24,UN Day
2024-10-30,World Thrift Day
2024-10-31,Rastriya Ekta Diwas (in memory of Sardar Patel)
2024-11-05,World Radiography day
2024-11-07,Infant Protection dayWorld Cancer Awareness Day
2024-11-09,World services day
2024-11-10,Transport Day
2024-11-14,Children’s Day in IndiaJawaharlal Nehru birthday
2024-11-16,International day for Endurance
2024-11-17,World Student dayNational Journalism day
2024-11-18,World Adult day
2024-11-19,World Citizen day
2024-11-20,Africa Industrialization DayUniversal children day
2024-11-21,World Television dayWorld Fisheries day
2024-11-25,World Non-veg day
2024-11-26,Law day
2024-11-29,International Day of Solidarity with Palestinian People
2024-11-30,Flag day
